Taxon	TaxID	Fragments	PropTotal	PropNonHost
Ramlibacter	174951	6	1.7391304347826088e-6	0.2222222222222222
Corynebacterium	1716	5	1.4492753623188406e-6	0.18518518518518517
Rhizorhabdus	1649486	4	1.1594202898550724e-6	0.14814814814814814
Bosea	85413	4	1.1594202898550724e-6	0.14814814814814814
Sphingomonas	13687	2	5.797101449275362e-7	0.07407407407407407
Luteibacter	242605	2	5.797101449275362e-7	0.07407407407407407
Rhodococcus	1827	2	5.797101449275362e-7	0.07407407407407407
Abiotrophia	46123	2	5.797101449275362e-7	0.07407407407407407
