Taxon	TaxID	Fragments	PropTotal	PropNonHost
Propionibacteriaceae	31957	1485	0.0002628318584070796	0.7340583292140386
Staphylococcaceae	90964	132	2.336283185840708e-5	0.0652496292634701
Corynebacteriaceae	1653	119	2.1061946902654868e-5	0.058823529411764705
Micrococcaceae	1268	35	6.194690265486725e-6	0.01730103806228374
Peptoniphilaceae	1570339	27	4.778761061946902e-6	0.013346515076618883
Pseudomonadaceae	135621	27	4.778761061946902e-6	0.013346515076618883
Comamonadaceae	80864	23	4.070796460176991e-6	0.011369253583786456
Streptococcaceae	1300	20	3.5398230088495575e-6	0.009886307464162136
Pasteurellaceae	712	17	3.008849557522124e-6	0.008403361344537815
Siphoviridae	10699	12	2.1238938053097345e-6	0.005931784478497282
Xanthomonadaceae	32033	11	1.9469026548672567e-6	0.005437469105289174
Pseudonocardiaceae	2070	9	1.5929203539823008e-6	0.004448838358872961
Hydrogenophilaceae	206349	9	1.5929203539823008e-6	0.004448838358872961
Sphingomonadaceae	41297	8	1.415929203539823e-6	0.003954522985664854
Burkholderiaceae	119060	7	1.238938053097345e-6	0.0034602076124567475
Nocardioidaceae	85015	6	1.0619469026548673e-6	0.002965892239248641
Mycobacteriaceae	1762	6	1.0619469026548673e-6	0.002965892239248641
Microbacteriaceae	85023	6	1.0619469026548673e-6	0.002965892239248641
Streptomycetaceae	2062	6	1.0619469026548673e-6	0.002965892239248641
Alcaligenaceae	506	6	1.0619469026548673e-6	0.002965892239248641
Prevotellaceae	171552	6	1.0619469026548673e-6	0.002965892239248641
Oxalobacteraceae	75682	5	8.849557522123894e-7	0.002471576866040534
Lawsonellaceae	2805586	4	7.079646017699115e-7	0.001977261492832427
Caulobacteraceae	76892	4	7.079646017699115e-7	0.001977261492832427
Micromonosporaceae	28056	3	5.309734513274336e-7	0.0014829461196243204
Nocardiopsaceae	83676	3	5.309734513274336e-7	0.0014829461196243204
Lactobacillaceae	33958	3	5.309734513274336e-7	0.0014829461196243204
Rhizobiaceae	82115	3	5.309734513274336e-7	0.0014829461196243204
Sphingobacteriaceae	84566	3	5.309734513274336e-7	0.0014829461196243204
Oscillospiraceae	216572	2	3.5398230088495575e-7	0.0009886307464162135
Oceanospirillaceae	135620	2	3.5398230088495575e-7	0.0009886307464162135
Rhodocyclaceae	75787	2	3.5398230088495575e-7	0.0009886307464162135
Thiobacillaceae	2008790	2	3.5398230088495575e-7	0.0009886307464162135
Phyllobacteriaceae	69277	2	3.5398230088495575e-7	0.0009886307464162135
Xanthobacteraceae	335928	2	3.5398230088495575e-7	0.0009886307464162135
Erythrobacteraceae	335929	2	3.5398230088495575e-7	0.0009886307464162135
Rhodospirillaceae	41295	2	3.5398230088495575e-7	0.0009886307464162135
Azospirillaceae	2829815	2	3.5398230088495575e-7	0.0009886307464162135
