Taxon	TaxID	Fragments	PropTotal	PropNonHost
Pseudomonadaceae	135621	62	7.614441057655688e-6	0.15233415233415235
Comamonadaceae	80864	26	3.1931527015975466e-6	0.06388206388206388
Propionibacteriaceae	31957	26	3.1931527015975466e-6	0.06388206388206388
Streptococcaceae	1300	21	2.5790848743672493e-6	0.051597051597051594
Streptomycetaceae	2062	20	2.4562713089211896e-6	0.04914004914004914
Xanthomonadaceae	32033	19	2.3334577434751303e-6	0.04668304668304668
Pseudonocardiaceae	2070	19	2.3334577434751303e-6	0.04668304668304668
Rhizobiaceae	82115	16	1.9650170471369516e-6	0.03931203931203931
Nocardioidaceae	85015	16	1.9650170471369516e-6	0.03931203931203931
Oxalobacteraceae	75682	15	1.8422034816908923e-6	0.036855036855036855
Microbacteriaceae	85023	14	1.7193899162448328e-6	0.0343980343980344
Bradyrhizobiaceae	41294	12	1.4737627853527138e-6	0.029484029484029485
Neisseriaceae	481	11	1.3509492199066543e-6	0.02702702702702703
Micrococcaceae	1268	10	1.2281356544605948e-6	0.02457002457002457
Moraxellaceae	468	9	1.1053220890145353e-6	0.022113022113022112
Boseaceae	2831100	8	9.825085235684758e-7	0.019656019656019656
Phyllobacteriaceae	69277	7	8.596949581224164e-7	0.0171990171990172
Sphingomonadaceae	41297	7	8.596949581224164e-7	0.0171990171990172
Pectobacteriaceae	1903410	6	7.368813926763569e-7	0.014742014742014743
Dermabacteraceae	85020	6	7.368813926763569e-7	0.014742014742014743
Cellulomonadaceae	85016	5	6.140678272302974e-7	0.012285012285012284
Tannerellaceae	2005525	5	6.140678272302974e-7	0.012285012285012284
Erwiniaceae	1903409	4	4.912542617842379e-7	0.009828009828009828
Rhodobacteraceae	31989	4	4.912542617842379e-7	0.009828009828009828
Alcaligenaceae	506	4	4.912542617842379e-7	0.009828009828009828
Burkholderiaceae	119060	4	4.912542617842379e-7	0.009828009828009828
Bacillaceae	186817	4	4.912542617842379e-7	0.009828009828009828
Prevotellaceae	171552	4	4.912542617842379e-7	0.009828009828009828
Hyphomicrobiaceae	45401	3	3.6844069633817845e-7	0.007371007371007371
Promicromonosporaceae	85017	3	3.6844069633817845e-7	0.007371007371007371
Brevibacteriaceae	85019	3	3.6844069633817845e-7	0.007371007371007371
Nocardiaceae	85025	3	3.6844069633817845e-7	0.007371007371007371
Bifidobacteriaceae	31953	3	3.6844069633817845e-7	0.007371007371007371
Yersiniaceae	1903411	2	2.4562713089211895e-7	0.004914004914004914
Methylobacteriaceae	119045	2	2.4562713089211895e-7	0.004914004914004914
Devosiaceae	2831106	2	2.4562713089211895e-7	0.004914004914004914
Caulobacteraceae	76892	2	2.4562713089211895e-7	0.004914004914004914
Zoogloeaceae	2008794	2	2.4562713089211895e-7	0.004914004914004914
Desulfobulbaceae	213121	2	2.4562713089211895e-7	0.004914004914004914
Ornithinimicrobiaceae	2805590	2	2.4562713089211895e-7	0.004914004914004914
Corynebacteriaceae	1653	2	2.4562713089211895e-7	0.004914004914004914
Mycobacteriaceae	1762	2	2.4562713089211895e-7	0.004914004914004914
Gordoniaceae	85026	2	2.4562713089211895e-7	0.004914004914004914
Micromonosporaceae	28056	2	2.4562713089211895e-7	0.004914004914004914
Nocardiopsaceae	83676	2	2.4562713089211895e-7	0.004914004914004914
Lactobacillaceae	33958	2	2.4562713089211895e-7	0.004914004914004914
Haloarculaceae	1963268	2	2.4562713089211895e-7	0.004914004914004914
