Taxon	TaxID	Fragments	PropTotal	PropNonHost
Pseudomonadaceae	135621	25	2.8571428571428573e-6	0.17857142857142858
Propionibacteriaceae	31957	20	2.2857142857142856e-6	0.14285714285714285
Comamonadaceae	80864	13	1.4857142857142858e-6	0.09285714285714286
Xanthomonadaceae	32033	8	9.142857142857143e-7	0.05714285714285714
Streptomycetaceae	2062	6	6.857142857142857e-7	0.04285714285714286
Staphylococcaceae	90964	6	6.857142857142857e-7	0.04285714285714286
Streptococcaceae	1300	5	5.714285714285714e-7	0.03571428571428571
Moraxellaceae	468	4	4.5714285714285715e-7	0.02857142857142857
Aeromonadaceae	84642	4	4.5714285714285715e-7	0.02857142857142857
Sphingomonadaceae	41297	4	4.5714285714285715e-7	0.02857142857142857
Alcaligenaceae	506	4	4.5714285714285715e-7	0.02857142857142857
Brevibacteriaceae	85019	4	4.5714285714285715e-7	0.02857142857142857
Bradyrhizobiaceae	41294	3	3.4285714285714286e-7	0.02142857142857143
Rhizobiaceae	82115	3	3.4285714285714286e-7	0.02142857142857143
Boseaceae	2831100	3	3.4285714285714286e-7	0.02142857142857143
Burkholderiaceae	119060	3	3.4285714285714286e-7	0.02142857142857143
Corynebacteriaceae	1653	3	3.4285714285714286e-7	0.02142857142857143
Nocardiaceae	85025	3	3.4285714285714286e-7	0.02142857142857143
Prevotellaceae	171552	3	3.4285714285714286e-7	0.02142857142857143
Enterobacteriaceae	543	2	2.2857142857142858e-7	0.014285714285714285
Halomonadaceae	28256	2	2.2857142857142858e-7	0.014285714285714285
Phreatobacteraceae	2843305	2	2.2857142857142858e-7	0.014285714285714285
Rhodobacteraceae	31989	2	2.2857142857142858e-7	0.014285714285714285
Caulobacteraceae	76892	2	2.2857142857142858e-7	0.014285714285714285
Rhodocyclaceae	75787	2	2.2857142857142858e-7	0.014285714285714285
Dietziaceae	85029	2	2.2857142857142858e-7	0.014285714285714285
Egicoccaceae	1755824	2	2.2857142857142858e-7	0.014285714285714285
