Taxon	TaxID	Fragments	PropTotal	PropNonHost
Clostridiaceae	31979	1238	2.6761866277439315e-5	0.531786941580756
Bacillaceae	186817	272	5.87982845514014e-6	0.11683848797250859
Oscillospiraceae	216572	70	1.5131911465434185e-6	0.03006872852233677
Comamonadaceae	80864	46	9.94382753442818e-7	0.019759450171821305
Propionibacteriaceae	31957	45	9.727657370636263e-7	0.019329896907216496
Pseudomonadaceae	135621	44	9.511487206844345e-7	0.018900343642611683
Caulobacteraceae	76892	40	8.646806551676677e-7	0.01718213058419244
Lachnospiraceae	186803	38	8.214466224092843e-7	0.01632302405498282
Enterobacteriaceae	543	34	7.349785568925175e-7	0.014604810996563574
Xanthomonadaceae	32033	34	7.349785568925175e-7	0.014604810996563574
Alcaligenaceae	506	33	7.133615405133258e-7	0.014175257731958763
Erysipelotrichaceae	128827	28	6.052764586173674e-7	0.012027491408934709
Streptomycetaceae	2062	24	5.188083931006007e-7	0.010309278350515464
Bacteroidaceae	815	23	4.97191376721409e-7	0.009879725085910653
Rhizobiaceae	82115	22	4.7557436034221725e-7	0.009450171821305841
Neisseriaceae	481	21	4.5395734396302555e-7	0.00902061855670103
Pseudonocardiaceae	2070	20	4.3234032758383386e-7	0.00859106529209622
Burkholderiaceae	119060	20	4.3234032758383386e-7	0.00859106529209622
Microbacteriaceae	85023	17	3.6748927844625877e-7	0.007302405498281787
Boseaceae	2831100	17	3.6748927844625877e-7	0.007302405498281787
Sphingomonadaceae	41297	16	3.458722620670671e-7	0.006872852233676976
Bradyrhizobiaceae	41294	14	3.026382293086837e-7	0.006013745704467354
Streptococcaceae	1300	12	2.5940419655030035e-7	0.005154639175257732
Veillonellaceae	31977	12	2.5940419655030035e-7	0.005154639175257732
Nocardioidaceae	85015	12	2.5940419655030035e-7	0.005154639175257732
Micrococcaceae	1268	12	2.5940419655030035e-7	0.005154639175257732
Corynebacteriaceae	1653	11	2.3778718017110862e-7	0.004725085910652921
Nocardiaceae	85025	9	1.9455314741272523e-7	0.003865979381443299
Micromonosporaceae	28056	9	1.9455314741272523e-7	0.003865979381443299
Deinococcaceae	183710	8	1.7293613103353354e-7	0.003436426116838488
Moraxellaceae	468	8	1.7293613103353354e-7	0.003436426116838488
Lactobacillaceae	33958	7	1.5131911465434184e-7	0.003006872852233677
Rikenellaceae	171550	7	1.5131911465434184e-7	0.003006872852233677
Prevotellaceae	171552	7	1.5131911465434184e-7	0.003006872852233677
Flavobacteriaceae	49546	7	1.5131911465434184e-7	0.003006872852233677
Nocardiopsaceae	83676	6	1.2970209827515017e-7	0.002577319587628866
Rhodobacteraceae	31989	6	1.2970209827515017e-7	0.002577319587628866
Oxalobacteraceae	75682	6	1.2970209827515017e-7	0.002577319587628866
Mycobacteriaceae	1762	5	1.0808508189595846e-7	0.002147766323024055
Phyllobacteriaceae	69277	5	1.0808508189595846e-7	0.002147766323024055
Methylobacteriaceae	119045	5	1.0808508189595846e-7	0.002147766323024055
Yersiniaceae	1903411	5	1.0808508189595846e-7	0.002147766323024055
Paenibacillaceae	186822	4	8.646806551676677e-8	0.001718213058419244
Actinomycetaceae	2049	4	8.646806551676677e-8	0.001718213058419244
Thermaceae	188786	4	8.646806551676677e-8	0.001718213058419244
Methylocystaceae	31993	4	8.646806551676677e-8	0.001718213058419244
Zoogloeaceae	2008794	4	8.646806551676677e-8	0.001718213058419244
Intrasporangiaceae	85021	3	6.485104913757509e-8	0.001288659793814433
Dietziaceae	85029	3	6.485104913757509e-8	0.001288659793814433
Natrialbaceae	1644061	3	6.485104913757509e-8	0.001288659793814433
Promicromonosporaceae	85017	2	4.3234032758383384e-8	0.000859106529209622
Ornithinimicrobiaceae	2805590	2	4.3234032758383384e-8	0.000859106529209622
Egicoccaceae	1755824	2	4.3234032758383384e-8	0.000859106529209622
Devosiaceae	2831106	2	4.3234032758383384e-8	0.000859106529209622
Chelatococcaceae	2036754	2	4.3234032758383384e-8	0.000859106529209622
Xanthobacteraceae	335928	2	4.3234032758383384e-8	0.000859106529209622
Ectothiorhodospiraceae	72276	2	4.3234032758383384e-8	0.000859106529209622
Aeromonadaceae	84642	2	4.3234032758383384e-8	0.000859106529209622
Rhodocyclaceae	75787	2	4.3234032758383384e-8	0.000859106529209622
Polyangiaceae	49	2	4.3234032758383384e-8	0.000859106529209622
Tannerellaceae	2005525	2	4.3234032758383384e-8	0.000859106529209622
Weeksellaceae	2762318	2	4.3234032758383384e-8	0.000859106529209622
