Taxon	TaxID	Fragments	PropTotal	PropNonHost
Pseudomonadaceae	135621	150	4.224600014870592e-5	0.13333333333333333
Comamonadaceae	80864	111	3.126204011004238e-5	0.09866666666666667
Propionibacteriaceae	31957	81	2.2812840080301196e-5	0.072
Xanthomonadaceae	32033	74	2.084136007336159e-5	0.06577777777777778
Prevotellaceae	171552	51	1.4363640050560014e-5	0.04533333333333334
Caulobacteraceae	76892	50	1.408200004956864e-5	0.044444444444444446
Moraxellaceae	468	41	1.1547240040646285e-5	0.036444444444444446
Enterobacteriaceae	543	37	1.0420680036680794e-5	0.03288888888888889
Burkholderiaceae	119060	37	1.0420680036680794e-5	0.03288888888888889
Boseaceae	2831100	36	1.0139040035689422e-5	0.032
Alcaligenaceae	506	36	1.0139040035689422e-5	0.032
Streptomycetaceae	2062	27	7.604280026767066e-6	0.024
Microbacteriaceae	85023	26	7.322640025775693e-6	0.02311111111111111
Pseudonocardiaceae	2070	26	7.322640025775693e-6	0.02311111111111111
Sphingomonadaceae	41297	21	5.914440020818829e-6	0.018666666666666668
Streptococcaceae	1300	21	5.914440020818829e-6	0.018666666666666668
Phyllobacteriaceae	69277	19	5.3511600188360835e-6	0.016888888888888887
Methylobacteriaceae	119045	19	5.3511600188360835e-6	0.016888888888888887
Micrococcaceae	1268	19	5.3511600188360835e-6	0.016888888888888887
Bradyrhizobiaceae	41294	17	4.787880016853337e-6	0.015111111111111112
Nocardiaceae	85025	16	4.506240015861965e-6	0.014222222222222223
Corynebacteriaceae	1653	15	4.224600014870592e-6	0.013333333333333334
Oxalobacteraceae	75682	13	3.6613200128878466e-6	0.011555555555555555
Lactobacillaceae	33958	12	3.3796800118964734e-6	0.010666666666666666
Halomonadaceae	28256	11	3.0980400109051008e-6	0.009777777777777778
Rhizobiaceae	82115	10	2.816400009913728e-6	0.008888888888888889
Aerococcaceae	186827	10	2.816400009913728e-6	0.008888888888888889
Hyphomicrobiaceae	45401	9	2.5347600089223554e-6	0.008
Aeromonadaceae	84642	8	2.2531200079309823e-6	0.0071111111111111115
Rhodobacteraceae	31989	8	2.2531200079309823e-6	0.0071111111111111115
Mycobacteriaceae	1762	8	2.2531200079309823e-6	0.0071111111111111115
Nocardiopsaceae	83676	8	2.2531200079309823e-6	0.0071111111111111115
Micromonosporaceae	28056	7	1.9714800069396096e-6	0.006222222222222222
Lachnospiraceae	186803	7	1.9714800069396096e-6	0.006222222222222222
Devosiaceae	2831106	6	1.6898400059482367e-6	0.005333333333333333
Nocardioidaceae	85015	6	1.6898400059482367e-6	0.005333333333333333
Conexibacteraceae	320583	6	1.6898400059482367e-6	0.005333333333333333
Gordoniaceae	85026	5	1.408200004956864e-6	0.0044444444444444444
Weeksellaceae	2762318	5	1.408200004956864e-6	0.0044444444444444444
Roseobacteraceae	2854170	4	1.1265600039654911e-6	0.0035555555555555557
Dermacoccaceae	145357	4	1.1265600039654911e-6	0.0035555555555555557
Enterococcaceae	81852	4	1.1265600039654911e-6	0.0035555555555555557
Deinococcaceae	183710	4	1.1265600039654911e-6	0.0035555555555555557
Bacteroidaceae	815	4	1.1265600039654911e-6	0.0035555555555555557
Shewanellaceae	267890	3	8.449200029741184e-7	0.0026666666666666666
Stappiaceae	2821832	3	8.449200029741184e-7	0.0026666666666666666
Beijerinckiaceae	45404	3	8.449200029741184e-7	0.0026666666666666666
Sphingosinicellaceae	2820280	3	8.449200029741184e-7	0.0026666666666666666
Atopobiaceae	1643824	3	8.449200029741184e-7	0.0026666666666666666
Sphingobacteriaceae	84566	3	8.449200029741184e-7	0.0026666666666666666
Pectobacteriaceae	1903410	2	5.632800019827456e-7	0.0017777777777777779
Yersiniaceae	1903411	2	5.632800019827456e-7	0.0017777777777777779
Aurantimonadaceae	255475	2	5.632800019827456e-7	0.0017777777777777779
Xanthobacteraceae	335928	2	5.632800019827456e-7	0.0017777777777777779
Thiobacillaceae	2008790	2	5.632800019827456e-7	0.0017777777777777779
Sterolibacteriaceae	2008793	2	5.632800019827456e-7	0.0017777777777777779
Staphylococcaceae	90964	2	5.632800019827456e-7	0.0017777777777777779
Rikenellaceae	171550	2	5.632800019827456e-7	0.0017777777777777779
Ignavibacteriaceae	795749	2	5.632800019827456e-7	0.0017777777777777779
