Taxon	TaxID	Fragments	PropTotal	PropNonHost
Pseudomonadaceae	135621	636	0.00011336898395721925	0.08467580881373984
Comamonadaceae	80864	608	0.00010837789661319073	0.08094794301690854
Pseudonocardiaceae	2070	495	8.823529411764706e-5	0.06590334176541073
Streptomycetaceae	2062	387	6.898395721925133e-5	0.05152443083477566
Moraxellaceae	468	365	6.506238859180036e-5	0.04859539342297963
Sphingomonadaceae	41297	325	5.793226381461676e-5	0.04326987085607775
Phyllobacteriaceae	69277	315	5.6149732620320855e-5	0.04193849021435228
Xanthomonadaceae	32033	266	4.7415329768270944e-5	0.035414725069897485
Rhizobiaceae	82115	230	4.09982174688057e-5	0.030621754759685794
Nocardiopsaceae	83676	228	4.0641711229946525e-5	0.0303554786313407
Bradyrhizobiaceae	41294	175	3.1194295900178254e-5	0.023299161230195712
Halomonadaceae	28256	173	3.083778966131907e-5	0.023032885101850618
Streptococcaceae	1300	167	2.9768270944741534e-5	0.02223405671681534
Burkholderiaceae	119060	162	2.8877005347593582e-5	0.021568366395952603
Microbacteriaceae	85023	156	2.780748663101604e-5	0.02076953801091732
Rhodobacteraceae	31989	154	2.745098039215686e-5	0.02050326188257223
Nocardioidaceae	85015	118	2.1033868092691623e-5	0.01571029157236054
Mycobacteriaceae	1762	107	1.907308377896613e-5	0.014245772866462522
Alcaligenaceae	506	99	1.764705882352941e-5	0.013180668353082146
Enterobacteriaceae	543	98	1.7468805704099822e-5	0.0130475302889096
Oxalobacteraceae	75682	98	1.7468805704099822e-5	0.0130475302889096
Micrococcaceae	1268	80	1.4260249554367201e-5	0.010651045133803754
Hyphomicrobiaceae	45401	73	1.301247771836007e-5	0.009719078684595926
Roseobacteraceae	2854170	69	1.2299465240641712e-5	0.009186526427905739
Xanthobacteraceae	335928	66	1.1764705882352942e-5	0.008787112235388098
Methylobacteriaceae	119045	65	1.1586452762923352e-5	0.00865397417121555
Boseaceae	2831100	63	1.1229946524064172e-5	0.008387698042870456
Bacillaceae	186817	61	1.0873440285204992e-5	0.008121421914525364
Micromonosporaceae	28056	60	1.0695187165775402e-5	0.007988283850352816
Azospirillaceae	2829815	59	1.0516934046345811e-5	0.00785514578618027
Caulobacteraceae	76892	56	9.982174688057041e-6	0.007455731593662628
Nocardiaceae	85025	51	9.090909090909091e-6	0.006790041272799894
Erythrobacteraceae	335929	50	8.912655971479501e-6	0.006656903208627347
Propionibacteriaceae	31957	45	8.02139037433155e-6	0.005991212887764612
