SampleName	TotalReads	TotalFragments	TotalUnmapped	GoodFragments	GoodUnmapped	ClassFragments	GoodFragmentsProp	ClassProp	PrepType
TRS22-B297_A_P2-T0-TAK-MDBP	13020132	6510066	46065	6501819	37818	9036	0.99873	0.23893	dsDNA-SS
TRS22-B297_A_P2-T1	10218023	5109012	10949	5104134	6071	309	0.99905	0.0509	dsDNA
TRS22-B297_A_P2-T1-SS	12545139	6272570	462704	5887672	77806	10614	0.93864	0.13642	ssDNA
TRS22-B297_A_P2-T1-SS-EMS	6415702	3207851	643569	2733436	169154	28114	0.85211	0.1662	ssDNA-SS
TRS22-B297_A_P2-T1-TAK-MDBP	5109440	2554720	18577	2551490	15347	3759	0.99874	0.24493	dsDNA-SS
TRS22-B297_A_P2-T2	10541170	5270585	12812	5263854	6081	69	0.99872	0.01135	dsDNA
TRS22-B297_A_P2-T2-SS	17131557	8565779	433289	8180993	48503	4548	0.95508	0.09377	ssDNA
TRS22-B297_A_P2-T2-SS-EMS	7036808	3518404	487156	3104004	72756	11499	0.88222	0.15805	ssDNA-SS
TRS22-B297_A_P2-T2-TAK-MDBP	2501955	1250978	5494	1249708	4224	633	0.99898	0.14986	dsDNA-SS
TRS22-B297_A_P2-T3	8924593	4462297	10821	4456685	5209	25	0.99874	0.0048	dsDNA
TRS22-B297_A_P2-T3-SS	13537576	6768788	592106	6210788	34106	2420	0.91756	0.07096	ssDNA
TRS22-B297_A_P2-T3-SS-EMS	6265798	3132899	688503	2489053	44657	5750	0.79449	0.12876	ssDNA-SS
TRS22-B297_A_P2-T3-TAK-MDBP	3374419	1687210	6158	1685407	4355	765	0.99893	0.17566	dsDNA-SS
TRS22-B297_A_P2-T4	12509379	6254690	15289	6246212	6811	27	0.99864	0.00396	dsDNA
TRS22-B297_A_P2-T4-SS	18870214	9435107	568464	8902452	35809	1910	0.94355	0.05334	ssDNA
TRS22-B297_A_P2-T4-SS-EMS	8442037	4221019	630742	3627960	37683	4799	0.8595	0.12735	ssDNA-SS
TRS22-B297_A_P2-T4-TAK-MDBP	1861822	930911	2898	929554	1541	205	0.99854	0.13303	dsDNA-SS
TRS22-B297_A_P2-T5	15560461	7780231	17625	7771290	8684	44	0.99885	0.00507	dsDNA
TRS22-B297_A_P2-T5-SS	15732118	7866059	626242	7269468	29651	1932	0.92416	0.06516	ssDNA
TRS22-B297_A_P2-T5-SS-EMS	8056272	4028136	702641	3360738	35243	4379	0.83432	0.12425	ssDNA-SS
TRS22-B297_A_P2-T5-TAK-MDBP	26224405	13112203	20527	13101878	10202	672	0.99921	0.06587	dsDNA-SS
TRS22-B297_A_P2-T6	12300716	6150358	15450	6142818	7910	31	0.99877	0.00392	dsDNA
TRS22-B297_A_P2-T6-SS	15426705	7713353	630205	7107480	24332	1395	0.92145	0.05733	ssDNA
TRS22-B297_A_P2-T6-SS-EMS	9435885	4717943	828004	3925991	36052	3938	0.83214	0.10923	ssDNA-SS
TRS22-B297_A_P2-T6-TAK-MDBP	1928490	964245	4949	961265	1969	226	0.99691	0.11478	dsDNA-SS
TRS22-B297_A_P2-T7	12687977	6343989	13019	6338161	7191	58	0.99908	0.00807	dsDNA
TRS22-B297_A_P2-T7-SS	12943481	6471741	338876	6150920	18055	963	0.95043	0.05334	ssDNA
TRS22-B297_A_P2-T7-SS-EMS	7080094	3540047	399601	3163088	22642	2702	0.89352	0.11934	ssDNA-SS
TRS22-B297_A_P2-T7-TAK-MDBP	5879639	2939820	13049	2934966	8195	1920	0.99835	0.23429	dsDNA-SS
TRS22-B297_A_P2-T8	11428377	5714189	10792	5709181	5784	27	0.99912	0.00467	dsDNA
TRS22-B297_A_P2-T8-SS	14989171	7494586	430767	7088804	24985	1428	0.94586	0.05715	ssDNA
TRS22-B297_A_P2-T8-SS-EMS	8566290	4283145	505101	3811034	32990	4073	0.88977	0.12346	ssDNA-SS
TRS22-B297_A_P2-T8-TAK-MDBP	39436963	19718482	29043	19702609	13170	1234	0.9992	0.0937	dsDNA-SS
TRS22-B297_A_P2-T9	15913089	7956545	17492	7948760	9707	64	0.99902	0.00659	dsDNA
TRS22-B297_A_P2-T9-SS	14085753	7042877	509840	6562256	29219	1955	0.93176	0.06691	ssDNA
TRS22-B297_A_P2-T9-SS-EMS	6403403	3201702	555481	2682337	36116	4888	0.83778	0.13534	ssDNA-SS
TRS22-B297_A_P2-T9-TAK-MDBP	2579312	1289656	5782	1287824	3950	563	0.99858	0.14253	dsDNA-SS
TRS22-B304_A_P2-T0	9262829	4631415	11092	4626170	5847	350	0.99887	0.05986	dsDNA
