Taxon	TaxID	Fragments	PropTotal	PropNonHost
Homo sapiens	9606	5026	0.0009609942638623327	0.9956418383518225
Variovorax sp. 38R	2774875	5	9.560229445506693e-7	0.0009904912836767037
Rhodopseudomonas palustris	1076	3	5.736137667304016e-7	0.0005942947702060222
Cutibacterium acnes	1747	3	5.736137667304016e-7	0.0005942947702060222
Rathayibacter festucae	110937	3	5.736137667304016e-7	0.0005942947702060222
Luteimonas sp. S4-F44	2925842	2	3.824091778202677e-7	0.0003961965134706815
Prauserella marina	530584	2	3.824091778202677e-7	0.0003961965134706815
Streptomyces cyaneochromogenes	2496836	2	3.824091778202677e-7	0.0003961965134706815
Virgibacillus necropolis	163877	2	3.824091778202677e-7	0.0003961965134706815
