Taxon	TaxID	Fragments	PropTotal	PropNonHost
Proteobacteria	1224	661	0.0004646964287973994	0.6307251908396947
Actinobacteria	201174	336	0.00023621482613604567	0.32061068702290074
Firmicutes	1239	26	1.8278528212908295e-5	0.02480916030534351
Bacteroidetes	976	12	8.43624379057306e-6	0.011450381679389313
Deinococcus-Thermus	1297	5	3.5151015794054416e-6	0.004770992366412214
Planctomycetes	203682	4	2.8120812635243533e-6	0.003816793893129771
Euryarchaeota	28890	2	1.4060406317621766e-6	0.0019083969465648854
Uroviricota	2731618	2	1.4060406317621766e-6	0.0019083969465648854
